date,region,population,child_mort,marriages,work_age_mort
2016-01-01,Приморский край,1923,1923.0,610,615.9
2016-01-01,Хабаровский край ,1333,1333.0,672,645.4
2016-01-01,Амурская область,802,802.0,705,715.7
2016-01-01,Магаданская область,146,146.0,858,699.1
2016-01-01,Сахалинская область,487,487.0,688,720.5
2016-01-01,Еврейская автономная область,164,164.0,631,798.1
2016-01-01,Чукотский автономный округ,50,50.0,733,827.0
2017-01-01,Приволжский  федеральный округ,29543,29543.0,585,519.8
2017-01-01,Республика Башкортостан,4063,4063.0,558,554.3
2017-01-01,Республика Марий Эл,682,682.0,619,525.1
2017-01-01,Республика Мордовия,805,805.0,570,443.2
2017-01-01,Республика Татарстан,3895,3895.0,504,417.2
2017-01-01,Удмуртская Республика,1513,1513.0,546,531.7
2017-01-01,Чувашская Республика,1231,1231.0,542,512.8
2017-01-01,Пермский край,2623,2623.0,577,590.9
2017-01-01,Кировская область,1283,1283.0,711,508.3
2017-01-01,Нижегородская область ,3235,3235.0,595,536.8
2017-01-01,Оренбургская область,1978,1978.0,626,581.9
2017-01-01,Пензенская область,1332,1332.0,648,471.3
2017-01-01,Самарская область,3193,3193.0,611,564.4
2017-01-01,Саратовская область,2463,2463.0,641,473.4
2017-01-01,Ульяновская область,1247,1247.0,586,520.3
2017-01-01,Уральский  федеральный округ,12356,12356.0,628,526.1
2017-01-01,Курганская область,846,846.0,710,630.1
2017-01-01,Свердловская область ,4325,4325.0,605,580.6
2017-01-01,Тюменская область,3692,3692.0,631,431.2
2017-01-01,Ханты-Мансийский автономный  округ – Югра,1655,1655.0,648,394.5
2017-01-01,Ямало-Ненецкий автономный  округ,538,538.0,646,381.2
2017-01-01,Тюменская область  без автономных округов,1499,1499.0,604,495.6
2017-01-01,Челябинская область,3493,3493.0,638,543.6
2017-01-01,Сибирский  федеральный округ,17230,17230.0,618,583.9
2017-01-01,Республика Алтай,218,218.0,583,511.7
2017-01-01,Республика Тыва,322,322.0,251,729.1
2017-01-01,Республика Хакасия,538,538.0,620,582.5
2017-01-01,Алтайский край,2350,2350.0,704,562.2
2017-01-01,Красноярский край,2876,2876.0,611,573.5
2017-01-01,Иркутская область,2404,2404.0,582,660.6
2017-01-01,Кемеровская область,2695,2695.0,671,682.2
2017-01-01,Новосибирская область ,2789,2789.0,614,537.4
2017-01-01,Омская область,1960,1960.0,615,532.2
2017-01-01,Томская область,1078,1078.0,572,494.1
2017-01-01,Дальневосточный  федеральный округ,8223,8223.0,620,589.3
2017-01-01,Республика Бурятия,985,985.0,551,546.2
2017-01-01,Республика Саха (Якутия),964,964.0,581,516.7
2017-01-01,Забайкальский край,1073,1073.0,625,563.3
2017-01-01,Камчатский край,316,316.0,650,577.3
2017-01-01,Приморский край,1913,1913.0,592,584.3
2017-01-01,Хабаровский край ,1328,1328.0,664,603.3
2017-01-01,Амурская область,798,798.0,650,630.9
2017-01-01,Магаданская область,144,144.0,730,678.2
2017-01-01,Сахалинская область,490,490.0,680,601.7
2017-01-01,Еврейская автономная область,162,162.0,629,595.5
2017-01-01,Чукотский автономный округ,50,50.0,670,822.7
2018-01-01,Приволжский  федеральный округ,29397,29397.0,648,518.8
2018-01-01,Республика Башкортостан,4051,4051.0,606,553.1
2018-01-01,Республика Марий Эл,681,681.0,728,543.5
2018-01-01,Республика Мордовия,795,795.0,686,448.9
2018-01-01,Республика Татарстан,3899,3899.0,541,409.2
2018-01-01,Удмуртская Республика,1507,1507.0,566,520.2
2018-01-01,Чувашская Республика,1223,1223.0,605,520.6
2018-01-01,Пермский край,2611,2611.0,651,609.4
2018-01-01,Кировская область,1272,1272.0,767,528.8
2018-01-01,Нижегородская область ,3215,3215.0,647,542.7
2018-01-01,Оренбургская область,1963,1963.0,656,571.5
2018-01-01,Пензенская область,1318,1318.0,733,479.6
2018-01-01,Самарская область,3183,3183.0,720,530.7
2018-01-01,Саратовская область,2441,2441.0,737,469.2
2018-01-01,Ульяновская область,1238,1238.0,648,548.3
2018-01-01,Уральский  федеральный округ,12350,12350.0,730,519.8
2018-01-01,Курганская область,835,835.0,724,621.6
2018-01-01,Свердловская область ,4316,4316.0,690,575.8
2018-01-01,Тюменская область,3723,3723.0,758,421.2
2018-01-01,Ханты-Мансийский автономный  округ – Югра,1664,1664.0,780,380.0
2018-01-01,Ямало-Ненецкий автономный  округ,541,541.0,839,359.9
2018-01-01,Тюменская область  без автономных округов,1518,1518.0,704,495.0
2018-01-01,Челябинская область,3476,3476.0,750,541.6
2018-01-01,Сибирский  федеральный округ,17173,17173.0,690,585.2
2018-01-01,Республика Алтай,219,219.0,622,513.9
2018-01-01,Республика Тыва,324,324.0,348,682.6
2018-01-01,Республика Хакасия,537,537.0,653,561.4
2018-01-01,Алтайский край,2333,2333.0,759,577.5
2018-01-01,Красноярский край,2874,2874.0,718,583.4
2018-01-01,Иркутская область,2398,2398.0,647,655.2
2018-01-01,Кемеровская область,2674,2674.0,724,703.8
2018-01-01,Новосибирская область ,2793,2793.0,711,521.6
2018-01-01,Омская область,1944,1944.0,688,517.3
2018-01-01,Томская область,1077,1077.0,582,451.9
2018-01-01,Дальневосточный  федеральный округ,8189,8189.0,692,589.7
2018-01-01,Республика Бурятия,983,983.0,630,547.1
2018-01-01,Республика Саха (Якутия),967,967.0,545,468.8
2018-01-01,Забайкальский край,1066,1066.0,728,604.3
2018-01-01,Камчатский край,315,315.0,703,609.6
2018-01-01,Приморский край,1902,1902.0,689,595.9
2018-01-01,Хабаровский край ,1321,1321.0,755,600.2
2018-01-01,Амурская область,794,794.0,713,654.6
2018-01-01,Магаданская область,141,141.0,725,667.8
2018-01-01,Сахалинская область,490,490.0,746,631.8
2018-01-01,Еврейская автономная область,160,160.0,800,641.4
2018-01-01,Чукотский автономный округ,50,50.0,671,954.6
