Raion;Obekt;Sdacha;Etajnosty;Tip;Lest;Obekt;Etaj;S_obshch;S_zhil;S_kukh;S_Komnaty;Otdelka;S\u;Balk;TCena;za_m2;Baz_tcena;Prodavetc;Obnovleno,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;SA;3;23.95;20.09;20.09;20.09;CHist;S;-;3982885;166300;3982885;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;SA;5;23.95;20.09;20.09;20.09;CHist;S;-;3982885;166300;3982885;InterRost;17.06.2019,,,
Kalininskii;Dom na Bliukhera;I kv. 2020;17;K/M;2;ST;4;28.9;14;14;14;CHern;S;B;3697668;127947;4108520;LenSpetcSMU;17.06.2019,,,
Kalininskii;Dom na Bliukhera;I kv. 2020;17;K/M;6;ST;9;31.7;15.7;5;15.7;P/Kl;S;B;4301964;135709;4779960;LenSpetcSMU;17.06.2019,,,
Kalininskii;Dom na Bliukhera;I kv. 2020;17;K/M;6;ST;15;32.2;16.9;5;16.9;P/Kl;S;B;4403637;136759;4892930;LenSpetcSMU;17.06.2019,,,
Kalininskii;Dom na Bliukhera;I kv. 2020;17;K/M;6;ST;9;32.2;16.9;5;16.9;P/Kl;S;B;4369824;135709;4855360;LenSpetcSMU;17.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;10;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;11;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;11;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;12;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;12;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;12;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;13;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;13;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;13;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;14;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;14;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
Lomonosovskii;Veter peremen;I kv. 2020;16;MN;1;ST;15;26.52;17.1;17.1;17.1;CHern;S;B;1850000;69759;1850000;Gazprombank-Invest;18.06.2019,,,
